"","Politician","sentiment","month","count","total_month","proportion"
"382","Ted Cruz","sadness","March",5,80,0.062
"383","Ted Cruz","sadness","April",5,43,0.116
"384","Ted Cruz","surprise","December",1,16,0.062
"385","Ted Cruz","surprise","January",20,411,0.049
"386","Ted Cruz","surprise","February",4,174,0.023
"387","Ted Cruz","surprise","March",5,80,0.062
"388","Ted Cruz","surprise","April",2,43,0.047
"389","Ted Cruz","trust","December",6,16,0.375
"390","Ted Cruz","trust","January",81,411,0.197
"391","Ted Cruz","trust","February",43,174,0.247
"392","Ted Cruz","trust","March",17,80,0.212
"393","Ted Cruz","trust","April",6,43,0.14
