"name","date","followers","followers_change","rank","republican","followers_1k","description","date_label"
"barackobama",2019-12-17,25392347,3529,1,FALSE,25392,"Coronavirus yet to occur","2019-12-17 :  Coronavirus yet to occur"
"berniesanders",2019-12-17,3960103,1885,3,FALSE,3960,"Coronavirus yet to occur","2019-12-17 :  Coronavirus yet to occur"
"joebiden",2019-12-17,1396278,383,5,FALSE,1396,"Coronavirus yet to occur","2019-12-17 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-17,2183138,870,4,FALSE,2183,"Coronavirus yet to occur","2019-12-17 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-17,15635440,8214,2,TRUE,15635,"Coronavirus yet to occur","2019-12-17 :  Coronavirus yet to occur"
"sentedcruz",2019-12-17,416044,47,6,TRUE,416,"Coronavirus yet to occur","2019-12-17 :  Coronavirus yet to occur"
"barackobama",2019-12-18,25395426,3079,1,FALSE,25395,"Coronavirus yet to occur","2019-12-18 :  Coronavirus yet to occur"
"berniesanders",2019-12-18,3962121,2018,3,FALSE,3962,"Coronavirus yet to occur","2019-12-18 :  Coronavirus yet to occur"
"joebiden",2019-12-18,1396573,295,5,FALSE,1397,"Coronavirus yet to occur","2019-12-18 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-18,2183777,639,4,FALSE,2184,"Coronavirus yet to occur","2019-12-18 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-18,15642742,7302,2,TRUE,15643,"Coronavirus yet to occur","2019-12-18 :  Coronavirus yet to occur"
"sentedcruz",2019-12-18,416146,102,6,TRUE,416,"Coronavirus yet to occur","2019-12-18 :  Coronavirus yet to occur"
"barackobama",2019-12-19,25401327,5901,1,FALSE,25401,"Coronavirus yet to occur","2019-12-19 :  Coronavirus yet to occur"
"berniesanders",2019-12-19,3965239,3118,3,FALSE,3965,"Coronavirus yet to occur","2019-12-19 :  Coronavirus yet to occur"
"joebiden",2019-12-19,1397441,868,5,FALSE,1397,"Coronavirus yet to occur","2019-12-19 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-19,2186022,2245,4,FALSE,2186,"Coronavirus yet to occur","2019-12-19 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-19,15674387,31645,2,TRUE,15674,"Coronavirus yet to occur","2019-12-19 :  Coronavirus yet to occur"
"sentedcruz",2019-12-19,416328,182,6,TRUE,416,"Coronavirus yet to occur","2019-12-19 :  Coronavirus yet to occur"
"barackobama",2019-12-20,25410742,9415,1,FALSE,25411,"Coronavirus yet to occur","2019-12-20 :  Coronavirus yet to occur"
"berniesanders",2019-12-20,3969552,4313,3,FALSE,3970,"Coronavirus yet to occur","2019-12-20 :  Coronavirus yet to occur"
"joebiden",2019-12-20,1398272,831,5,FALSE,1398,"Coronavirus yet to occur","2019-12-20 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-20,2189190,3168,4,FALSE,2189,"Coronavirus yet to occur","2019-12-20 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-20,15747430,73043,2,TRUE,15747,"Coronavirus yet to occur","2019-12-20 :  Coronavirus yet to occur"
"sentedcruz",2019-12-20,419144,2816,6,TRUE,419,"Coronavirus yet to occur","2019-12-20 :  Coronavirus yet to occur"
"barackobama",2019-12-21,25416654,5912,1,FALSE,25417,"Coronavirus yet to occur","2019-12-21 :  Coronavirus yet to occur"
