,tweet_id,is_retweet,time,text,replies,retweets,likes
162,1255199383609643009,True,2020-04-28 11:17:08,"Thank you, President @realDonaldTrump, for your steadfast, unapologetic support of law enforcement during #COVID19. From DAY ONE, you & your team (@WhiteHouse @TheJusticeDept @DHSgov @USDOL @NIH) have listened to our needs and have done your damndest to get us what we need! pic.twitter.com/2m4GgXFjPX",2841,8862,30496
163,1255231394923646976,False,2020-04-28 13:24:20,pic.twitter.com/shcVSYZmuY https://twitter.com/realDonaldTrump/status/1255145720136359945 …,8650,21120,89546
164,1255228926428942339,False,2020-04-28 13:14:31,pic.twitter.com/9YNWvhqCk7,7535,13412,62574
165,1255214363633303552,True,2020-04-28 12:16:39,LIVE: POTUS delivers remarks on supporting small businesses https://www.pscp.tv/w/cXcnFzFxTFFHVnJ5UkFKRUp8MWt2S3BYUk9lUk9LRZluF1k_TEaCtwvjkD56I88K1NuR9SNBKDuYmJB0kBrG …,3300,8037,28033
166,1255145720136359945,False,2020-04-28 07:43:53,Thank you @BlueAngels and @AFThunderbirds! #AmericaStrong https://twitter.com/BlueAngels/status/1255144203849326594 … pic.twitter.com/bq0VOKYsmd,8623,12846,50484
167,1254769777706323972,True,2020-04-27 06:50:02,"BREAKING: Emails show Obama FBI was out to get @GenFlynn and also knew McCain leaked anti-@realDonaldTrump dossier; @JudicialWatch
court victory for cleaner elections as Left sets up the steal for 2020 and beyond; #ConstitutionoverCoronavirus. Big Update: https://youtube.com/watch?v=O_x31t-Sqjs … pic.twitter.com/qftFpulBld",5486,17458,39819
168,1255108325991219200,True,2020-04-28 05:15:18,A fifth to half of all coronavirus deaths have been in nursing homes: https://justthenews.com/politics-policy/coronavirus/ground-zero-fifth-half-all-coronavirus-deaths-have-been-nursing-homes …,3324,10733,24381
169,1254385856535769088,True,2020-04-26 05:24:28,Newly Declassified Documents Show John Kerry’s State Department Spread Russia Collusion Narrative https://gjarr.it/2zoqaYz ,4504,23390,47205
170,1255116969755447299,True,2020-04-28 05:49:39,Newly Revealed Docs Support Flynn’s Innocence: Case Against Him Should Be Tossed https://gjarr.it/3bOUBWs ,2876,15445,43189
171,1255133977360265218,False,2020-04-28 06:57:14,"But I love Diamond & Silk, and so do millions of people! https://twitter.com/diamondandsilk/status/1254951865831370753 …",12825,25273,112795
172,1255126812625174528,True,2020-04-28 06:28:45,"45 days ago, business leaders joined President @realDonaldTrump in the Rose Garden to help launch a new, critical partnership with the private sector: accelerating our ability to test for the Coronavirus.

Since then, we've made dramatic progress. pic.twitter.com/ASa4HNwgLc",3645,8162,31855
